title,link,pubdate,location,description
Updated build a website for healthcare professionals to share instructional case studies for educational purpose repost with updated files,https://www.freelancer.com/projects/website-design/Updated-build-website-for-healthcare.html,Sat 06 May 2023 184628 0400,NaN,Details are in the attached pdf file for wireframe and mp3 file with my verbal explanations If you have already looked at the pdf file last week this new one is much clearer with new information Budget 500  5000 USD Jobs HTML MySQL PHP Website Design WordPress
AI Video Enhancer,https://www.freelancer.com/projects/mobile-app-development/Video-Enhancer.html,Sat 06 May 2023 184534 0400,NaN,I have a niche idea that uses an AI foundational model and Id like help with fine tuning it for a very niche use case Im not a developer Budget 750  1500 USD Jobs Mobile App Development Video Production
Shopify Basic updates,https://www.freelancer.com/projects/shopify-site/Shopify-Basic-updates.html,Sat 06 May 2023 184402 0400,NaN,Im looking for a talented freelancer to help me with updating my Shopify store Specifically I need someone to make minor design changes and I have the artwork for the changes In addition I also need a review of the existing code Budget 1500  12500 INR Jobs HTML PHP Shopify Shopify Templates Website Design
Social Media Management,https://www.freelancer.com/projects/social-media-marketing/Social-Media-Management-36532245.html,Sat 06 May 2023 184213 0400,NaN,Im in the process of launching a social media management company and I need three to four people who are experts in managing social media to work for my company Budget 2  8 USD Jobs Content Creation Google Analytics Graphic Design Instagram Marketing Social Media Marketing
Portfolio Maker,https://www.freelancer.com/projects/php/Portfolio-Maker-36532233.html,Sat 06 May 2023 184204 0400,NaN,Description Name Butler Logo Title Build a website like JournoPortfolio Overview Im looking for an experienced web developer to create a website that is similar to JournoPortfolio httpswwwjournoportfoliocom Budget 250  750 USD Jobs HTML PHP PostgreSQL Ruby on Rails Website Design
video editing for youtube  4,https://www.freelancer.com/projects/video-editing/video-editing-for-youtube-36532246.html,Sat 06 May 2023 184202 0400,NaN,I want someone to professionally edit my YouTube videos I want to edit videos like this taking care of every detail of the video from start to finish  httpsyoutube3oZArEdPpbI Budget 1500  3000 USD Jobs After Effects Video Editing Video Production Video Services YouTube
Chinese New year PROJECT,https://www.freelancer.com/projects/graphic-design/Chinese-New-year-PROJECT.html,Sat 06 May 2023 184129 0400,NaN,As a Chinese New Year Designer you will be responsible for designing creative and visually appealing materials related to the Chinese New Year celebration Your designs will help clients showcase their Budget 25  50 AUD Jobs Corporate Identity Graphic Design Illustrator Logo Design Photoshop
Mobile App Development,https://www.freelancer.com/projects/android/Mobile-App-Development-36532244.html,Sat 06 May 2023 184125 0400,NaN,I am seeking a skilled mobile app developer to create an app for both iOS and Android platforms The app should have an intermediate level of complexity with a moderately complex user interface and additional features Budget 10  30 USD Jobs Android iPad iPhone Mobile App Development Objective C
ART Marketer Needed  Sell This Artwork,https://www.freelancer.com/projects/sales/ART-Marketer-Needed-Sell-This.html,Sat 06 May 2023 184101 0400,NaN,I am an independent artist who sells her abstract pieces via an online platform so far I need you to find a customer for this painting Either you could get the person to buy via the platform or you close a sale directly with them for the same price as on the platform Budget 250  750 EUR Jobs Customer Strategy Sales
Create a TRC20 wallet address using php and create sign and broadcaste transaction,https://www.freelancer.com/projects/php/Create-TRC-wallet-address-using.html,Sat 06 May 2023 184012 0400,NaN,Hello Im looking for a freelancer to create a TRC20 wallet address specifically designed for cryptocurrencies using PHP This wallet will be able to store cryptocurrency as well as both process and sign transactions that can then be broadcasted Budget 600  601 INR Jobs HTML MySQL PHP Software Architecture Website Design
